실행시각,지표,결과,비고
2026-07-25 01:52,금리_CD91일,성공,139행 수집
2026-07-25 01:52,금리_국고채3년,성공,139행 수집
2026-07-25 01:52,금리_회사채AA,성공,139행 수집
2026-07-25 01:52,금리_회사채BBB,성공,139행 수집
2026-07-25 01:52,PPI_형강,실패,ECOS 응답 오류: 해당하는 데이터가 없습니다.
2026-07-25 01:52,PPI_철근 및 봉강,실패,ECOS 응답 오류: 해당하는 데이터가 없습니다.
2026-07-25 01:52,CPI_총지수,성공,138행 수집
2026-07-25 01:52,GDP디플레이터,실패,ECOS 응답 오류: 해당하는 데이터가 없습니다.
2026-07-25 01:52,건설공사비지수,실패,"KOSIS 응답 오류: {'err': '11', 'errMsg': '유효하지 않은 인증KEY입니다.'}"
2026-07-25 01:52,노임단가,실패,"KOSIS 응답 오류: {'err': '11', 'errMsg': '유효하지 않은 인증KEY입니다.'}"
2026-07-25 01:52,지가변동률_의왕,실패,"KOSIS 응답 오류: {'err': '11', 'errMsg': '유효하지 않은 인증KEY입니다.'}"
2026-07-25 01:52,토지거래_의왕,실패,"KOSIS 응답 오류: {'err': '11', 'errMsg': '유효하지 않은 인증KEY입니다.'}"
2026-07-25 02:12,금리_CD91일,성공,139행 수집
2026-07-25 02:12,금리_국고채3년,성공,139행 수집
2026-07-25 02:12,금리_회사채AA,성공,139행 수집
2026-07-25 02:12,금리_회사채BBB,성공,139행 수집
2026-07-25 02:12,PPI_형강,실패,ECOS 응답 오류: 해당하는 데이터가 없습니다.
2026-07-25 02:12,PPI_철근 및 봉강,실패,ECOS 응답 오류: 해당하는 데이터가 없습니다.
2026-07-25 02:12,CPI_총지수,성공,138행 수집
2026-07-25 02:12,GDP디플레이터,실패,ECOS 응답 오류: 해당하는 데이터가 없습니다.
2026-07-25 02:12,건설공사비지수,성공,3288행 수집
2026-07-25 02:12,노임단가,성공,138행 수집
2026-07-25 02:12,지가변동률_의왕,실패,"KOSIS 응답 오류: {'err': '31', 'errMsg': ' 40,000셀을 초과한 결과값은 요청하실 수 없습니다.'}"
2026-07-25 02:12,토지거래_의왕,실패,"KOSIS 응답 오류: {'err': '31', 'errMsg': ' 40,000셀을 초과한 결과값은 요청하실 수 없습니다.'}"
